timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778657695150,20009,GET Learning TextBook Math PT8,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/%20/learning/v1/textbooks/2105/page-content,0,0,20008
1778657715159,20004,GET Navigate TextBook Sejarah,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/courses/9/navigation,0,0,20004
1778657735164,20002,GET Learning TextBook Sejarah PT1,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/2155/page-content,0,0,20002
1778657755167,20001,GET Learning TextBook Sejarah PT5,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/2241/page-content,0,0,20001
1778657775169,20007,GET Learning TextBook Sejarah PT8,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/%20/learning/v1/textbooks/2317/page-content,0,0,20007
1778657795178,20010,GET Learning TextBook Sejarah PT10,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/2377/page-content,0,0,20010
1778657815188,20002,GET Learning TextBook Math ,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/%20/learning/v1/textbooks/courses/10/navigation,0,0,20002
1778657835191,20011,GET Learning TextBook Math PT1,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/1553/page-content,0,0,20011
1778657855203,20000,GET Learning TextBook Math PT4,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/1649/page-content,0,0,20000
1778657875204,20016,GET Learning TextBook Math PT8,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/1763/page-content,0,0,20016
1778657895221,20013,GET Learning TextBook Math PT10,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/1825/page-content,0,0,20012
