timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778662439269,899,GET Learning Study Notes BI TP2,200,OK,Virtual Student 1-1,text,true,,40961,2079,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3159/detail,593,0,0
1778662440168,914,GET Learning Study Notes Math TP1,200,OK,Virtual Student 1-1,text,true,,36560,2079,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3316/detail,618,0,0
1778662441083,825,GET Learning Study Notes Math TP2,200,OK,Virtual Student 1-1,text,true,,44364,2079,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3311/detail,555,0,0
1778662441909,1291,GET Learning Study Notes Sejarah TP1,200,OK,Virtual Student 1-1,text,true,,92234,2079,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3367/detail,634,0,0
1778662443200,1130,GET Learning Study Notes Sejarah TP2,200,OK,Virtual Student 1-1,text,true,,88201,2079,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3364/detail,615,0,0
1778662444331,755,GET Study Notes Details,200,OK,Virtual Student 1-1,text,true,,44837,2079,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3283/detail,548,0,0
1778662445087,571,GET Flashcards,200,OK,Virtual Student 1-1,text,true,,10849,2139,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=FLASHCARDS&subjectIds=2,14,15,6,7&limit=12&offset=0",536,0,0
1778662445659,616,GET Quiz,200,OK,Virtual Student 1-1,text,true,,10473,2133,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=QUIZ&subjectIds=2,14,15,6,7&limit=12&offset=0",615,0,0
1778662446275,13752,T03A_Navigate_Quiz_And_Answer_10Q,200,"Number of samples in transaction : 25, number of failing samples : 0",Virtual Student 1-1,,true,,107142,52859,1,1,null,0,124,0
1778662446276,899,GET Quiz Detail 2808,200,OK,Virtual Student 1-1,text,true,,66830,2075,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/detail,582,0,0
